/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 6, col 10, Error - 'appPaths' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 10, col 3, Error - 'ProfileCard' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 11, col 3, Error - 'ProfileHeading' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 12, col 3, Error - 'UserDetailsContainer' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 13, col 3, Error - 'DetailLine' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 14, col 3, Error - 'DetailLabel' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfile.tsx: line 15, col 3, Error - 'LogoutButtonContainer' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/profile/UserProfileStyles.ts: line 30, col 49, Error - 'theme' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/pages/components/services/fetchClient.ts: line 48, col 16, Error - 'jsonError' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/components/LoadingComponent/index.tsx: line 52, col 9, Error - 'theme' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/components/SnackBar/index.tsx: line 9, col 8, Error - 'SvgIconOwnProps' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/hooks/local-state.ts: line 64, col 7, Warning - Unused eslint-disable directive (no problems were reported from 'no-console').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/hooks/local-state.ts: line 84, col 7, Warning - Unused eslint-disable directive (no problems were reported from 'no-console').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/state/model/theme-mode.state.tsx: line 19, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/shared/styles/model/styles.mixins.ts: line 23, col 3, Warning - Unused eslint-disable directive (no problems were reported from '@typescript-eslint/no-explicit-any').

87 problems
